0,0
1500,0
1500,0
1500,500
1500,500
0,500
0,500
0,0
0,200
70,200
90,200
90,0
0,250
100,250
70,250 
70,220
90,200
160,200
180,200
310,200
210,200
210,0
330,200
330,0
330,200
380,200
400,200
500,200
500,200
500,100
520,100
780,100
600,100
600,0
700,100
700,0
800,100
800,200
800,200
830,200
850,200
980,200
980,200
980,0
1000,200
1140,200
1070,200
1070,0
1160,200
1160,0
1180,200
1360,200
1270,200
1270,0
1380,0
1380,230
1380,250
1500,250
140,250
240,250
220,250
220,500
260,250
440,250
460,250
500,250
430,250
430,500
500,250
500,350
500,350
520,350
540,350
800,350
600,350
600,500
700,350
700,500
800,350
800,250
800,250
820,250
840,250
950,250
860,250
860,500
970,250
970,500
970,250
1050,250
1070,250
1170,250
1080,250
1080,500
1200,250
1330,250
1280,250
1280,500
1350,250
1350,500
560,165
740,165
560,285
740,285
560,165
560,285
740,165
740,285
