0,0,90,200,80,200
90,0,120,200,170,200
210,0,120,200,320,200
330,0,170,200,390,200
500,0,100,100,510,100
700,0,100,100,790,100
800,0,180,200,840,200
980,0,90,200,990,200
1070,0,90,200,1150,200
1160,0,110,200,1170,200
1270,0,110,200,1370,200
1380,0,120,250,1380,240
0,200,70,50,70,210
0,250,220,250,120,250
220,250,210,250,250,250
430,250,70,250,450,250
500,350,100,150,530,350
800,250,60,250,830,250
860,250,110,250,960,250
970,250,110,250,1060,250
1080,250,200,250,1185,250
1280,250,70,250,1340,250
1350,250,150,250,1370,250
70,201,60,48,100,225
131,201,60,48,161,225
192,201,60,48,222,225
253,201,60,48,283,225
314,201,60,48,344,225
375,201,60,48,405,225
436,201,64,48,468,225
501,201,58,48,530,225
501,250,58,35,530,268
501,286,60,63,530,317
501,165,58,35,530,184
501,101,60,63,530,132
562,101,60,63,592,132
623,101,60,63,653,132
684,101,56,63,712,132
741,101,58,63,770,132
562,286,60,63,592,317
623,286,60,63,653,317
684,286,56,63,712,317
741,286,58,63,770,317
741,165,58,35,770,184
741,201,58,48,770,225
741,250,58,35,770,268
800,201,60,48,830,225
861,201,60,48,891,225
922,201,60,48,952,225
983,201,60,48,1013,225
1044,201,60,48,1074,225
1105,201,60,48,1135,225
1166,201,60,48,1196,225
1227,201,60,48,1257,225
1288,201,60,48,1318,225
1348,201,31,48,1364,225
